point_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
1,94.8400000000,8252.0858555222,5501.1948983643,755.3660261078,1084.6042701165,910.9206609337
2,61.1400000000,8934.7675244643,5956.4716046523,1097.4304909789,699.3184256919,1181.5470031412
3,158.6500000000,13785.4844168819,9190.4257842309,754.7330514445,1814.2024666267,2026.1231145798
4,39.5200000000,5771.5041842296,3847.4560281371,1096.8788562489,452.0227443471,375.1465554964
5,41.4600000000,4951.2102783675,3300.6828192405,938.6129255746,474.2208169657,237.6937165868
6,27.7600000000,4008.9166082274,2672.5891485197,1087.5315179624,317.4425494709,-68.6466077255
7,69.1500000000,6019.9371136036,4013.1444180473,755.6102914559,790.8338108934,460.3485932069
8,16.0600000000,1908.2074064115,1271.7887060697,935.2637903541,183.6645358295,-482.5096258418
9,146.1500000000,12639.0813621465,8425.9074509221,752.5246171233,1670.8134821586,1789.8358119425
10,91.6800000000,13377.8793571366,8918.5381749811,1096.1853728800,1048.6009869429,2314.5548223326
11,176.2700000000,15303.0297417074,10201.8787736722,754.3228133681,2015.5899884272,2331.2381662399
12,51.3900000000,4482.1460839397,2988.2321722922,756.4780410728,587.7864760308,149.6493945440
13,132.9300000000,19340.7843037107,12894.0915698436,1093.7544670621,1520.3108706913,3832.6273961137
14,86.5700000000,12588.4168745550,8392.7391162910,1093.2784533794,990.0834116657,2112.3158932189
15,59.2100000000,7070.9397149576,4713.7024063203,938.6129255746,677.2458893521,741.3784937106
16,27.7400000000,3313.1240724162,2208.8206138124,938.6878670654,317.2922234625,-151.6766319241
17,34.8000000000,5085.5399059757,3390.1194771159,1097.4304909789,398.0418909728,199.9480469081
18,111.7400000000,9725.2194353363,6483.3455003198,755.4932545847,1277.8954936316,1208.4851868002
19,150.4500000000,17900.9851121764,11934.3549761548,936.1820858981,1720.6443814829,3309.8036686405
20,109.2600000000,12871.2376711730,8581.0701004920,929.6388554362,1249.1878910004,2111.3408242443
21,112.7200000000,16330.1023742184,10886.2852026333,1090.1749041379,1289.0603552080,3064.5819122392
22,31.4700000000,3757.7328222443,2505.2479488274,938.5322790142,359.9533996814,-46.0008052787
23,282.6500000000,33339.2367656986,22226.4920622097,930.4637478382,3231.7059825854,6950.5749730652
24,91.0300000000,7884.4410615134,5256.2758671615,753.2396180813,1040.7612458152,834.1643304554
25,173.3100000000,15070.4499661439,10046.9997377104,755.0768121019,1981.9274767835,2286.4459395480
26,77.8500000000,11297.4118357100,7531.3452918778,1091.5804976578,890.3182761699,1784.1677700046
27,24.9000000000,2974.5327734755,1982.8984028621,938.8222665727,284.8100337399,-231.9979296993
28,43.3900000000,3786.9312469556,2524.4887553834,756.7903865069,496.3044232799,9.3476817855
29,55.1200000000,4808.6911026222,3205.9387120352,756.5966414806,630.4589752879,215.6967738185
30,62.5900000000,9126.9709794635,6084.4677323810,1095.6242774865,715.8704782845,1231.0084913116
31,50.5000000000,7387.7599484772,4925.0006538922,1098.3260134850,577.6316944097,786.8015866904
32,167.9100000000,24105.7753111641,16070.9496891642,1082.6437912211,1919.8809065707,5032.3009242081
33,79.5900000000,11601.5607245729,7734.1961997199,1095.3085042616,910.3000529931,1861.7559675983
34,185.3000000000,22016.8637863050,14677.9378900514,935.2637903541,2119.1182122794,4284.5438936200
35,60.7500000000,8879.4466534535,5919.5405220453,1097.5884505866,694.8604590126,1167.4572218089
36,33.7700000000,4930.5170105137,3286.6684964589,1096.6652581846,386.2531483861,160.9301074842
37,24.0600000000,3518.9086559109,2345.6953259603,1098.1153248667,275.2028250884,-200.1048200045
38,240.5600000000,34817.1076294309,23211.1865100567,1089.3723944003,2750.9807501878,7765.5679747861
39,126.8000000000,18332.8446993778,12221.9568668893,1088.4939688877,1450.0218558800,3572.3720077209
40,36.0000000000,3141.0967151357,2094.3116516991,756.6624014288,411.7691608964,-121.6464988886
41,67.9300000000,5908.8746901969,3939.4111901336,755.2275891446,776.8441264131,437.3917845055
42,4.5100000000,538.8552524577,359.3311969592,938.9383947274,51.5863781745,-811.0007174034
43,72.6700000000,10603.9538927041,7068.9247751638,1096.1853728800,831.1718337820,1607.6719108782
44,25.6700000000,3753.2882708502,2502.0157893748,1097.8712831691,293.6164462873,-140.2152479809
45,100.9900000000,14616.6432469913,9744.5627107922,1089.3723944003,1154.8950197933,2627.8131220055
46,4.2300000000,617.5921514502,412.0313275444,1096.6652581846,48.3817239465,-939.4861582253
47,14.4700000000,2109.2421621381,1406.2174908582,1095.3085042616,165.4987029377,-557.7825359194
48,27.2600000000,3973.5964989554,2649.2133086703,1095.3085042616,311.7826290312,-82.7079430077
49,36.9000000000,4397.8085608839,2931.6727400551,937.2848285391,422.0352477627,106.8157445270
50,40.3400000000,5893.9379763847,3929.1323367064,1097.2602780930,461.4062965006,406.1390650848
51,39.2500000000,5710.7183022692,3807.4364685146,1093.7544670621,448.8994333456,360.6279333469
52,126.8600000000,15023.3326333693,10015.4760930397,933.0839460749,1450.6408753436,2624.1317189112
53,58.0400000000,5058.5250406344,3372.6390424853,756.1438402539,663.8191268332,265.9230310620
54,12.7400000000,1862.4515197815,1241.9635129475,1097.7350963539,145.7210860459,-622.9681755658
55,2.9200000000,254.8787385837,170.1412529026,756.8474066171,33.3998503708,-705.5097713069
56,53.4700000000,4666.2231588686,3110.7773559974,756.7447129152,611.5980925331,187.1029974229
57,9.3000000000,1360.3536834970,906.5843899299,1098.2245360874,106.3754583200,-750.8307008402
58,42.5400000000,5082.6834677499,3388.6296422102,938.9383947274,486.5819351539,268.5334956584
59,53.5300000000,7829.0598649588,5219.8165220545,1098.1153248667,612.2862521606,898.8417658770
60,109.4300000000,9530.7923095414,6353.7851485081,755.8173576902,1251.5285634582,1169.6612398849
61,206.0400000000,24400.1848949977,16267.1745460198,933.0839460749,2356.0621626658,4843.8642402371
62,23.3800000000,3362.2095531019,2241.7715794038,1084.0440787886,267.3350111784,-230.9411162688
63,84.8100000000,7381.3841087424,4920.6929951145,755.4932545847,969.9151316887,735.2827273544
64,136.3200000000,19810.4298421296,13206.5679661987,1092.7603591096,1559.0444804503,3952.0570363709
65,21.4600000000,3133.2216477828,2088.9030094112,1096.6652581846,245.4543252699,-297.8009450829
66,263.8700000000,37733.5549213091,25155.5871367950,1079.4039103234,3016.8699322559,8481.6939419349
67,77.0600000000,11191.0209151219,7460.9389683338,1092.1959456200,881.2965071214,1756.5894940467
68,117.8700000000,13997.3045806114,9331.3335817307,934.9012987172,1347.9555009614,2383.1141992020
69,100.7700000000,11959.4591307268,7973.2288312257,934.5057179604,1152.3791577836,1899.3454237570
70,269.1000000000,38698.4854892955,25799.3712273757,1084.0440787886,3076.9825281487,8738.0876549825
71,119.4500000000,10390.3294824675,6926.9550831297,755.2275891446,1366.0243029596,1342.1225072336
72,41.0400000000,3554.6244223279,2369.7786112966,753.2396180813,469.2171979375,-37.6110049874
73,33.1800000000,3952.1292224980,2634.7019897595,936.8966040123,379.4813463297,1.0492823965
74,67.4000000000,8028.1347075457,5351.7384166991,936.8966040123,770.8572255160,968.6424613184
75,53.1300000000,4635.0826974296,3090.2412730677,756.5966414806,607.6974847069,180.5472981743
76,385.6100000000,45426.3038475289,30284.2875444371,929.6388554362,4408.7437547928,9803.6336928627
77,127.4900000000,18549.2860218165,12366.1697065621,1093.7544670621,1458.0939810760,3631.2678671163
78,33.8900000000,4039.0713313917,2692.7276264456,937.2848285391,387.6090663056,21.4498101014
79,59.4100000000,7090.9479566344,4727.2989351687,938.2513041608,679.5210334429,745.8766838619
80,16.9400000000,2475.0448517590,1649.5724367185,1097.2602780930,193.7586183123,-465.5464813648
81,163.8000000000,19481.1226401629,12987.2317483664,935.9015508839,1873.2983112703,3684.6910296423
82,37.7600000000,3291.4757714457,2194.1068293812,756.2106627622,431.8749843073,-90.7167050050
83,139.8600000000,20349.0716370795,13565.9921231108,1093.7544670621,1599.5687833814,4089.7562635252
84,103.9400000000,15083.5322569518,10055.7020240584,1091.5804976578,1188.6921210674,2747.5576141682
85,72.2900000000,6269.2839202191,4179.7037189697,753.8312137160,826.5629845512,509.1860029821
86,5.6200000000,670.6714569302,446.8974582509,938.1427889439,64.2802100660,-778.6490003306
87,83.3300000000,12082.9182882603,8054.9777086790,1090.9087661794,952.9742073893,1984.0576060127
88,61.7000000000,5347.6285274236,3564.9972088587,753.5492527343,705.4528891757,323.6291766548
89,20.8900000000,1820.9462093618,1214.2144589779,756.2106627622,238.9266001637,-388.4055125420
90,46.0400000000,6726.7452759730,4484.5160214307,1097.2602780930,526.6025258028,618.3664506465
91,57.3600000000,5003.7168243062,3335.5776021914,756.5599770292,656.0768405521,255.5024045334
92,27.9500000000,2437.7502052173,1624.9567603566,756.4780410728,319.6853863604,-263.3699825725
93,173.8400000000,25245.8743301946,16830.9432601578,1092.1959456200,1988.1207474434,5334.6143769734
94,48.0000000000,4187.5394217320,2791.6672370225,756.5966414806,549.0208783349,90.2546648939
95,105.1700000000,9130.4228622872,6086.7240413609,754.3228133681,1202.5846660401,1086.7913415182
96,75.1600000000,6554.6818120164,4369.6654464193,756.4322921394,859.6569591282,568.9271143295
97,19.5500000000,1706.3319614819,1137.6898908787,756.8108245191,223.6178143705,-411.7865682864
98,25.1200000000,3001.9979379394,2001.5620499249,939.0835389281,287.3302196284,-225.9778705419
99,55.0800000000,8058.6836692560,5372.1955770485,1098.4202960231,630.0204181624,958.0473780220
100,21.9700000000,1912.6249947342,1275.1316571963,755.6102914559,251.2598528609,-369.3768067789
101,75.5800000000,9019.4570666875,6012.8021655572,938.1427889439,864.4658855498,1204.0462266365
102,24.8900000000,3635.7960506111,2423.7343901581,1097.0767788299,284.6888521852,-169.7039705621
103,119.9600000000,17432.9457442918,11621.7798102549,1092.7603591096,1371.9408441521,3346.4647307752
104,14.3700000000,1717.0638340721,1144.9545145882,938.9903837852,164.3676722508,-531.2487365521
105,60.3800000000,8789.6498821071,5859.6061040211,1094.1922130533,690.5691287338,1145.2824362989
