policy_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
1,94.8400000000,708392.1993285967,474813.5090305542,39078.5929564827,85875.0917176763,108625.0056238835
2,61.1400000000,99510.1510489790,109613.9607130138,8235.3033405108,0.0000000000,-18339.1130045456
3,158.6500000000,1104633.4415686447,802454.8694863310,36262.9599610738,0.0000000000,265915.6121212399
4,39.5200000000,283913.7568893252,264725.7476191123,37578.4975527785,0.0000000000,-18390.4882825656
5,41.4600000000,439915.2291336383,352236.4493276286,55711.4194292863,0.0000000000,31967.3603767233
6,27.7600000000,221697.4642939102,192338.5616562087,42663.2318217739,0.0000000000,-13304.3291840724
7,69.1500000000,111161.0391926275,108942.8255542628,8100.8058725218,0.0000000000,-5882.5922341572
8,16.0600000000,87840.0140446031,79530.7708687171,28446.5765218231,0.0000000000,-20137.3333459371
9,146.1500000000,418122.4568896217,419817.8602940713,14510.6790074601,0.0000000000,-16206.0824119097
10,91.6800000000,40067.0780837658,49468.4215073703,2196.0173463221,0.0000000000,-11597.3607699266
11,176.2700000000,381855.2348890409,254520.2496566545,18855.2982872295,50343.5919601643,58136.0949849927
12,51.3900000000,241288.0058765403,188125.1522095852,24288.9647064191,0.0000000000,28873.8889605360
13,132.9300000000,48592.3803029972,55640.5717348753,1876.3836267115,0.0000000000,-8924.5750585896
14,86.5700000000,16449.1224437876,21342.0010346146,960.6316978292,0.0000000000,-5853.5102886562
15,59.2100000000,216587.2744399728,193275.1021147921,18784.5998735571,0.0000000000,4527.5724516236
16,27.7400000000,150372.2177669276,132748.4622742562,27870.0625255973,0.0000000000,-10246.3070329260
17,34.8000000000,244988.7054474368,242566.6101705887,36307.5855860812,0.0000000000,-33885.4903092331
18,111.7400000000,278099.7613364765,185212.5529199397,21820.0641800088,36713.7246347891,34353.4196017389
19,150.4500000000,86939.5584827542,57841.6670518220,4634.3424791323,8446.9561489871,16016.5928028128
20,109.2600000000,177354.4923740667,198773.2836003802,8282.4998944451,0.0000000000,-29701.2911207586
21,112.7100000000,1109057.7330304831,873819.7617046945,53044.8774366014,0.0000000000,182193.0938891873
22,31.4700000000,37867.6857828378,37376.7279244660,6058.7782693009,0.0000000000,-5567.8204109291
23,282.6500000000,1178284.1918456736,896825.0515162530,22108.2055599158,0.0000000000,259350.9347695048
24,91.0300000000,541525.7053747410,446335.8987965896,30736.3967160809,0.0000000000,64453.4098620704
25,173.3100000000,1315604.3422421501,875875.4413508184,66819.8063032219,174132.4099055614,198776.6846825484
26,77.8500000000,303118.7855954050,258236.9364968547,20811.1682289883,0.0000000000,24070.6808695620
27,24.9000000000,31327.9185039661,27264.0709564243,6473.6729170496,0.0000000000,-2409.8253695079
28,43.3900000000,7560.1435230051,5061.5386043283,911.6486235612,913.8365917541,673.1197033615
29,55.1200000000,97705.1407740822,87788.7415326140,8954.4837091102,0.0000000000,961.9155323580
30,62.5900000000,777910.0969246528,563563.9195936088,67428.3904389409,0.0000000000,146917.7868921030
31,50.5000000000,374139.2487269812,300563.6165134661,39484.1466215087,0.0000000000,34091.4855920065
32,167.9100000000,1533549.6813806917,1704765.9141308903,47615.7084779790,0.0000000000,-218831.9412281776
33,79.5900000000,1112873.1726497426,741308.9518638719,106016.0495047137,87748.7213926137,177799.4498885433
34,185.3000000000,362450.3824616996,413826.7282573569,9864.9470931334,0.0000000000,-61241.2928887907
35,60.7500000000,159490.6557158331,116776.1003353930,14218.3646733515,0.0000000000,28496.1907070887
36,33.7700000000,64031.6926470670,62708.7726686069,9850.8365718029,0.0000000000,-8527.9165933428
37,24.0600000000,12345.1065767469,10164.7833914774,2724.7319529691,0.0000000000,-544.4087676995
