point_id,scen_id,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_inv_income,pv_av_change,pv_net_cf
1,1,50000000.0000000000,43967898.9818297774,880706.1721809283,2500000.0000000000,6060232.9119477337,3761454.3192121275,4950173.4387249015
2,1,50000000.0000000000,49096019.9680048227,1157078.3074064034,2500000.0000000000,15666118.4554097690,8699598.8578365147,4213421.3221620247
3,1,26422361.8520885892,19485495.3794465996,1891365.6443040217,1321118.0926044304,13196699.3247139473,10924588.7943145335,5996493.2661329508
4,1,22014181.3842621520,21298759.7885502763,1588272.6210920233,1100709.0692131091,9191013.2243976761,4730656.2405354315,2486796.8892689859
1,2,50000000.0000000000,37741948.9047425389,880706.1721809283,2500000.0000000000,-755654.9603481005,3424407.1611702330,4697282.8015582003
2,2,50000000.0000000000,41772653.0225720406,1157078.3074064034,2500000.0000000000,6310953.2578848209,7520922.5714330487,3360299.3564733304
3,2,26422361.8520885892,19994405.7470816635,1891365.6443040217,1321118.0926044304,14067862.8036082163,11330405.3540541194,5952929.8176525719
4,2,22014181.3842621520,20745273.6482398398,1588272.6210920233,1100709.0692131091,8140627.7820546208,4455430.6771689719,2265123.1506028296
1,3,50000000.0000000000,44219953.2606271803,880706.1721809283,2500000.0000000000,6722846.5049580112,3990383.6527257264,5131803.4194241762
2,3,50000000.0000000000,44619946.0697786063,1157078.3074064034,2500000.0000000000,10931973.9153767545,8492976.1762215942,4161973.3619701490
3,3,26422361.8520885892,19499952.5327184983,1891365.6443040217,1321118.0926044304,12890601.4221396893,11095192.7846254017,5505334.2199759223
4,3,22014181.3842621520,18467726.4482865594,1588272.6210920233,1100709.0692131091,5067407.2533423640,4006989.1214285479,1917891.3775842763
1,4,50000000.0000000000,46263881.8316436186,880706.1721809283,2500000.0000000000,8573035.6611889992,3884450.1558269933,5043997.5015374571
2,4,50000000.0000000000,48963920.9319060370,1157078.3074064034,2500000.0000000000,15683548.6704874840,8756272.2036085278,4306277.2275665179
3,4,26422361.8520885892,19056896.7044830620,1891365.6443040217,1321118.0926044304,12561662.7916151062,10975257.3809520211,5739386.8213601634
4,4,22014181.3842621520,19898588.4805479348,1588272.6210920233,1100709.0692131091,7199177.2179662958,4413793.2995157680,2211995.1318596127
1,5,50000000.0000000000,40878664.8931148201,880706.1721809283,2500000.0000000000,3041015.7751868782,3793785.8337503672,4987858.8761407658
2,5,50000000.0000000000,39935924.5325346440,1157078.3074064034,2500000.0000000000,4856550.9457278391,7674745.8790826462,3588802.2267041467
3,5,26422361.8520885892,18340700.2597831935,1891365.6443040217,1321118.0926044304,10661781.5499235746,10209849.6874451693,5321109.7178753465
4,5,22014181.3842621520,18802280.8525957167,1588272.6210920233,1100709.0692131091,5297994.7686106358,3931115.8893836872,1889797.7205882496
1,6,50000000.0000000000,44860243.8235932291,880706.1721809283,2500000.0000000000,7269474.1607921673,3941622.7674241960,5086901.3975938112
2,6,50000000.0000000000,44086389.6530133709,1157078.3074064034,2500000.0000000000,10258119.2397813313,8427084.7527762353,4087566.5265853256
3,6,26422361.8520885892,17997334.2675335817,1891365.6443040217,1321118.0926044304,10065000.3454543334,10025419.6153577473,5252124.5777431391
4,6,22014181.3842621520,18602834.7319832258,1588272.6210920233,1100709.0692131091,5207264.2254643077,4004476.5421264865,1925152.6453116140
1,7,50000000.0000000000,44306590.5830467567,880706.1721809283,2500000.0000000000,6375407.0204741359,3751833.7327498868,4936276.5324965641
2,7,50000000.0000000000,48357707.3722412288,1157078.3074064034,2500000.0000000000,14655049.9266190547,8542111.5607990026,4098152.6861724183
3,7,26422361.8520885892,17878286.5637250431,1891365.6443040217,1321118.0926044304,10291294.9787855092,10171675.9343035184,5451210.5959370863
4,7,22014181.3842621520,18955148.9014296271,1588272.6210920233,1100709.0692131091,6375934.2430386459,4483347.5687369900,2262637.4668290494
1,8,50000000.0000000000,45401791.4801743105,880706.1721809283,2500000.0000000000,7671446.8787508840,3866036.8057699613,5022912.4206256829
2,8,50000000.0000000000,43991136.7178772986,1157078.3074064034,2500000.0000000000,10485078.7416103929,8637031.3411638550,4199832.3751628362
3,8,26422361.8520885892,18161790.9311792478,1891365.6443040217,1321118.0926044304,10742060.6317310072,10351887.2322182581,5438260.5835136380
4,8,22014181.3842621520,19214054.2936940342,1588272.6210920233,1100709.0692131091,5992518.4484596094,4106442.2474141829,1997221.6013084128
1,9,50000000.0000000000,44025371.7779410258,880706.1721809283,2500000.0000000000,6569800.1840661485,4011924.8942725025,5151797.3396716900
2,9,50000000.0000000000,47266219.8752046153,1157078.3074064034,2500000.0000000000,14338263.6756928116,8948788.1853230670,4466177.3077587262
3,9,26422361.8520885892,18132506.1794698425,1891365.6443040217,1321118.0926044304,10348917.4781746175,10123008.5431793518,5303280.8707055580
4,9,22014181.3842621520,18551013.2573800758,1588272.6210920233,1100709.0692131091,5428303.7383499732,4171775.7090288084,2030714.4658981096
1,10,50000000.0000000000,40708504.4134900346,880706.1721809283,2500000.0000000000,2799255.4842639160,3751226.0710047372,4958818.8275882192
2,10,50000000.0000000000,44118510.2168898210,1157078.3074064034,2500000.0000000000,9725103.7521186266,8089454.4911314696,3860060.7366909310
3,10,26422361.8520885892,17316171.9954896979,1891365.6443040217,1321118.0926044304,9107807.7571152560,9775702.7760602105,5225811.1007454842
4,10,22014181.3842621520,18602772.3708712570,1588272.6210920233,1100709.0692131091,5439881.4035583260,4140203.3650018456,2022105.3616422419
