policy_id,scr_life,life_mort,life_longev,life_lapse,life_exps,lapse_up,lapse_down,lapse_mass,nav_base
1,5929.437677484881,946.3940233553913,0,5012.745430748023,1338.5534804949812,2647.3977743354108,0,5012.745430748023,8954.018303162458
2,5230.15160191374,499.4305414574319,0,4374.728917218551,1336.4999872449425,2296.7655688341365,0,4374.728917218551,7511.092085138853
3,6042.299294915452,1016.2946254831295,0,5114.229832268857,1338.9873775558262,2705.813268814317,0,5114.229832268857,9173.906589547994
4,5292.442295341867,539.3388395210213,0,4432.471141317133,1336.7190452133018,2329.424162507029,0,4432.471141317133,7638.070649572482
5,6167.997279449268,1094.3756846260585,0,5226.686981853299,1339.4893428959767,2771.960557867422,0,5226.686981853299,9418.540503747563
6,5360.131843361133,582.2778127386018,0,4495.065155634142,1336.950583157326,2364.7281167761867,0,4495.065155634142,7774.792563568464
7,6313.158070137996,1181.0869841782314,0,5356.806181259994,1340.0669178860298,2846.837970593424,0,5356.806181259994,9688.953827748883
8,5435.114816832389,629.3347951385404,0,4564.230251049454,1337.2062525553847,2403.5538093618898,0,4564.230251049454,7924.503887722393
9,6482.682972495713,1280.1328213002544,0,5508.652154576432,1340.7143204183376,2932.1909970807937,0,5508.652154576432,9998.379148942997
10,5519.508878269759,681.7085365290159,0,4641.872032246307,1337.4964856182105,2446.8277680365654,0,4641.872032246307,8090.885690831037
11,6678.7285460598305,1394.7007818608836,0,5683.432892354294,1341.4307408212117,3029.482557140578,0,5683.432892354294,10358.037789234679
12,5613.325413564751,740.464205314991,0,4727.70616425709,1337.8255648748254,2495.2568996015143,0,4727.70616425709,8277.438542569174
13,6903.1775657372345,1526.7512560477244,0,5882.2852428507695,1342.2326435213326,3140.1548603236333,0,5882.2852428507695,10773.979158375316
14,5719.466453374711,806.1339581622515,0,4824.523978406796,1338.209042920531,2549.768045445924,0,4824.523978406796,8485.192285069139
15,7154.898410335747,1676.5333555764992,0,6103.608903196089,1343.1223121817166,3264.646335573245,0,6103.608903196089,11246.845959274866
16,5838.463289438137,878.9231255642017,0,4932.731656668661,1338.6296072417144,2610.190364235227,0,4932.731656668661,8715.626205956152
17,7434.018762880411,1842.9127137315409,0,6347.553500448399,1344.0991258749236,3402.9099133452437,0,6347.553500448399,11772.489484717178
18,5969.4193085855195,959.3175062558275,0,5051.173489624582,1339.0752607545755,2676.4768212271465,0,5051.173489624582,8970.999960156409
19,7744.380810748602,2025.7887222282407,0,6617.962829033464,1345.1602814423568,3555.336513491522,0,6617.962829033464,12350.495872449497
20,6113.748413462544,1046.9570375282728,0,5181.2805132740095,1339.5414959822283,2748.421885488002,0,5181.2805132740095,9250.232691428093
21,8089.826114210636,2227.1179229397094,0,6918.077222055683,1346.2929487965885,3722.7120107598967,0,6918.077222055683,12988.220383912907
22,6269.722706590858,1141.841141230705,0,5321.14569782273,1340.007149795223,2825.3380418468987,0,5321.14569782273,9554.364405929824
23,8473.192358128783,2449.3192926778247,0,7249.879892922774,1347.4880925499056,3905.877392709248,0,7249.879892922774,13694.519723590256
24,6435.89020011144,1243.0768109621822,0,5469.369012221807,1340.4593786188743,2906.295673874124,0,5469.369012221807,9880.91386563522
25,8896.146693340594,2694.164945355522,0,7614.277786250725,1348.7426080833393,4105.400377390353,0,7614.277786250725,14475.715444341415
26,6610.460543012161,1350.691967066694,0,5623.9670237832115,1340.905911814647,2991.287626064668,0,5623.9670237832115,10229.674340286092
27,9359.901378717366,2963.186592178463,0,8011.737752482632,1350.068915078984,4322.125546280895,0,8011.737752482632,15336.560309783014
28,6794.226881887837,1464.0622992332374,0,5785.8383682783,1341.3663883434274,3080.5517112990165,0,5785.8383682783,10597.510440944734
29,9862.600362326482,3255.2433727672906,0,8440.461111454784,1351.4472686041336,4554.902473022463,0,8440.461111454784,16273.846475229017
30,6990.941435078372,1583.1449316322905,0,5958.882081288141,1341.847854488111,3174.3202533699023,0,5958.882081288141,10983.909187506428
31,10404.851172643606,3569.578972427018,0,8901.235248778583,1352.8689105425146,4802.959083542497,0,8901.235248778583,17285.227704011442
32,7202.434287361108,1709.9536597630413,0,6144.398276123605,1342.3472401632425,3273.2214938821344,0,6144.398276123605,11396.139284370542
33,10987.645959616666,3908.6452497330174,0,9393.977181778893,1354.3652940155298,5067.881014208706,0,9393.977181778893,18377.83447104776
34,7432.521222117396,1846.5564730411443,0,6345.698530680933,1342.8820946073938,3378.4088604383796,0,6345.698530680933,11840.69320793149
35,11615.737146902302,4273.953965472909,0,9923.036960305632,1355.9925226534033,5351.882511661235,0,9923.036960305632,19554.311345401846
36,7680.248041316116,1995.4811512176457,0,6560.838459503493,1343.4727175163243,3491.2629015938055,0,6560.838459503493,12325.550632567749
37,12296.217125505591,4668.256403237137,0,10494.834892060051,1357.7994474604566,5657.794928620286,0,10494.834892060051,20821.896717005737
38,7945.77826013253,2156.780673084457,0,6789.762881351813,1344.1587086080144,3613.0169869680685,0,6789.762881351813,12848.948874444006
39,13037.715556967805,5097.034440457872,0,11116.248236902891,1359.854190758735,5990.331859094855,0,11116.248236902891,22196.500931698
40,8230.22121927652,2329.995602638068,0,7033.622215260406,1344.9679867226878,3744.777064345897,0,7033.622215260406,13407.74860816761
41,13840.658684691442,5563.266606205885,0,11786.192385549799,1362.1818156313675,6352.307117102449,0,11786.192385549799,23687.014143321983
42,8530.621499990686,2515.5065268622457,0,7288.966483576092,1345.9196442986467,3888.0585759962833,0,7288.966483576092,14002.100622287024
43,14707.248622479,6065.122951576181,0,12507.823707862928,1364.7778313754534,6744.215543847815,0,12507.823707862928,25286.624582035263
44,8852.453588445676,2710.1741360952547,0,7562.678771372039,1347.0121344867075,4042.868861693136,0,7562.678771372039,14620.58925648994
45,15643.406014032693,6604.689625493083,0,13286.68199833612,1367.6427089381905,7168.3543073732,0,13286.68199833612,27001.985190032632
46,9202.562628140857,2918.684726202926,0,7860.364026103005,1348.2536258758191,4212.5901321920355,0,7860.364026103005,15278.932530365491
47,16657.839773294654,7186.46613581889,0,14130.252554499712,1370.7924948413274,7628.438336135827,0,14130.252554499712,28847.500087131302
48,9586.627540296487,3145.0438536197726,0,8186.529361373763,1349.6504075136036,4400.271737555828,0,8186.529361373763,15990.529273513657
49,17763.432545046984,7816.183084735436,0,15050.080031762089,1374.2536144475162,8129.002416514195,0,15050.080031762089,30841.403945844206
50,10017.683087062156,3393.2148092609423,0,8553.594361014586,1351.221395859342,4609.379266319,0,8553.594361014586,16768.032566097434
51,18970.76313058686,8500.22964497008,0,16054.79563489995,1378.0189173176623,8673.7599553623,0,16054.79563489995,33005.461366677744
52,10506.93774754525,3670.0854233932405,0,8970.83427395341,1352.9545349175605,4843.369016334105,0,8970.83427395341,17635.84150646869
53,20288.34888564383,9243.910188531081,0,17151.244469546044,1382.0632621766417,9265.186577102431,0,17151.244469546044,35358.218702962855
54,11061.578719505605,3983.287088425477,0,9442.69033130816,1354.8585740885246,5106.156647249292,0,9442.69033130816,18620.09129408353
55,21723.200075471083,10053.534502203605,0,18343.957909102137,1386.3921754572511,9906.633546562778,0,18343.957909102137,37920.467258008444
56,11687.500018794419,4337.74407350814,0,9973.159456816877,1356.9688849087688,5401.2874748880895,0,9973.159456816877,19736.18014053566
57,23296.63176045918,10933.63553352363,0,19654.738278885656,1391.0345164008177,10601.362935534591,0,19654.738278885656,40705.87894013857
58,12394.41872253416,4736.499599092611,0,10571.21448667753,1359.3192232782312,5731.72407899638,0,10571.21448667753,20992.887477857286
59,25033.023812754087,11898.647780567655,0,21103.53743816141,1396.0187430981314,11355.69200807558,0,21103.53743816141,43762.47508377969
60,13197.589006671762,5186.505057910952,0,11250.215136790488,1361.959757691322,6102.4851046981785,0,11250.215136790488,22411.97327513754
61,26944.494441131137,12962.845727329026,0,22696.205770226275,1401.375117438205,12174.96446735441,0,22696.205770226275,47137.59438866965
62,14108.326931372128,5697.35711475159,0,12017.89747392547,1364.9459968828305,6519.690430573086,0,12017.89747392547,24024.226946651324
63,29033.276329481618,14131.452432575723,0,24432.17529691536,1407.139904284646,13060.837644749,0,24432.17529691536,50846.94143860118
64,15139.5970760497,6276.553336347693,0,12884.665349073748,1368.366111791096,6989.782958992779,0,12884.665349073748,25851.61484171482
65,31298.18823956464,15403.280578417573,0,26310.59983733055,1413.3259193860285,14011.972504426085,0,26310.59983733055,54884.68421608549
66,16299.578917295741,6930.863607764462,0,13855.909218510358,1372.2949509002792,7518.936034813589,0,13855.909218510358,27914.01081812744
67,33737.92894795224,16781.9614601066,0,28327.622906300792,1420.0652843849675,15031.94934809678,0,28327.622906300792,59258.28731125026
68,17602.65065800294,7665.501870312015,0,14944.707630098063,1376.8335292877018,8114.0996163213495,0,14944.707630098063,30224.709008809732
69,36363.8859772539,18264.591307825,0,30497.975075032737,1427.5107409423508,16123.372137835613,0,30497.975075032737,63952.80553780348
70,19068.88645692046,8489.513570349125,0,16168.708329948968,1382.091821486043,8784.566249728567,0,16168.708329948968,32810.06023650017
71,39201.90997894888,19856.51201134958,0,32848.58185991662,1435.7746121660166,17291.19574540475,0,32848.58185991662,68983.37658431192
72,20727.21798284779,9412.772918003262,0,17555.284254783313,1388.1407106059341,9539.2589326804,0,17555.284254783313,35700.893449147494
73,42270.43789177293,21568.39587325722,0,35394.70956031981,1444.841198807815,18538.39859197347,0,35394.70956031981,74386.62496119706
74,22601.63768789903,10451.694733487471,0,19122.84209136317,1395.02089000438,10388.35468154875,0,19122.84209136317,38952.06267507393
75,45583.304266932566,23409.686734963354,0,38146.92213789758,1454.7191598642967,19866.630263692176,0,38146.92213789758,80194.72825727047
76,24716.000472556952,11617.767932943767,0,20892.231595449754,1402.7536995361443,11339.12375145324,0,20892.231595449754,42601.99643064517
77,49137.04870024351,25380.3238081859,0,41101.37263350116,1465.2655576200923,21269.522694870393,0,41101.37263350116,86410.15520210651
78,27088.191896498276,12921.973515176447,0,22877.82386243422,1411.3088583151984,12396.438437413104,0,22877.82386243422,46689.097393076925
79,52933.65403502801,27475.097956824902,0,44263.79675100386,1476.302798151737,22737.04111980839,0,44263.79675100386,93017.8753023115
80,29746.346906434504,14374.004100770631,0,25106.49766188905,1420.676433994231,13564.19288520771,0,25106.49766188905,51246.5338465012
81,56982.25668424154,29694.928236898297,0,47644.65130003233,1487.5968178935582,24258.69486454723,0,47644.65130003233,100022.83392299744
82,32715.201540611437,15989.726685889415,0,27597.801633964467,1430.8318205472315,14846.50582717167,0,27597.801633964467,56329.19818485339
83,61288.570239704175,32048.666233055526,0,51245.3971387551,1498.9541773424717,25825.377361154737,0,51245.3971387551,107454.49986499752
84,36015.38595094192,17782.287757177488,0,30368.017097402364,1441.780052387534,16245.257569222973,0,30368.017097402364,61981.70209695192
85,65856.54717255187,34541.23511718295,0,55067.733023084904,1510.2873245928204,27426.352028650785,0,55067.733023084904,115327.85032358405
86,39669.35503034985,19760.636790246237,0,33437.96937631746,1453.529694346129,17758.85813557994,0,33437.96937631746,68234.40476016526
87,70679.2277109271,37173.04293244227,0,59103.307141003024,1521.4647909650812,29046.978721362102,0,59103.307141003024,123641.63782336959
88,43684.9478866986,21931.44961247171,0,36812.972389923525,1465.9709624876268,19379.64064767232,0,36812.972389923525,75112.4445884948
89,75746.89982238208,39939.76120329567,0,63343.44654358234,1532.3825815669843,30670.194496595825,0,63343.44654358234,132378.80736388208
90,48062.99097460002,24295.44184627157,0,40493.697450486914,1478.981563339883,21094.779453132098,0,40493.697450486914,82620.54467091104
91,81051.91605249108,42835.87462516618,0,67782.68737317724,1542.9005321428995,32277.50236252835,0,67782.68737317724,141517.67303850764
92,52788.75020855217,26848.530882789608,0,44465.57335326058,1492.3880279425066,22885.964454323606,0,44465.57335326058,90747.5996280977
93,86612.90011176838,45857.067978019186,0,72445.67630230292,1553.2011542167747,33850.15678691637,0,72445.67630230292,151051.9820631253
94,57853.44175749087,29580.640707172133,0,48724.48743532575,1506.141388946562,24732.38008666539,0,48724.48743532575,99462.07046559235
95,92386.69818784505,49022.05379984388,0,77270.0319720266,1562.5771318252664,35374.53037118574,0,77270.0319720266,161017.47559875168
96,63226.86341861011,32478.318118768744,0,53243.500987612526,1520.009228042909,26606.19183842407,0,53243.500987612526,108723.12546337704
97,98324.8476600662,52315.2522671785,0,82208.17655847041,1570.9554963596165,36832.5869552794,0,82208.17655847041,171352.48970482283
98,68855.60178610233,35518.138948089094,0,57974.65517938312,1533.5732329657185,28472.492787570663,0,57974.65517938312,118454.39399252256
99,104369.81805352728,55711.19561437232,0,87207.91738185124,1578.3420634771464,38207.641234610404,0,87207.91738185124,181965.90583542088
100,74688.79460352671,38671.84913242236,0,62875.94926614012,1546.3452929318883,30296.121583348955,0,62875.94926614012,128557.13968450925
101,11300.148013354432,793.1103815732349,0,9824.295356205563,2417.1233498197544,6138.248525012219,0,9824.295356205563,13256.380150415338
102,10571.183964367492,388.2372699554835,0,9120.223887897875,2421.667811722218,5518.333746904929,0,9120.223887897875,11660.089550250908
103,11408.95435650772,851.9733130342502,0,9928.591171744309,2416.50979451937,6222.799958367912,0,9928.591171744309,13491.336799541954
104,10641.89678114804,417.86058431939455,0,9189.565754891148,2421.8595347003866,5575.876444730937,0,9189.565754891148,11812.792259882743
105,11515.299844624007,907.1666272392176,0,10030.65224087538,2415.8841576684936,6309.21014213431,0,10030.65224087538,13720.03639640857
106,10712.880936522028,446.20484798449615,0,9259.259622182144,2422.0324971453083,5634.778844982924,0,9259.259622182144,11965.808373554086
107,11618.455262133839,957.1163494440989,0,10129.985938072772,2415.256291536716,6396.909839973276,0,10129.985938072772,13941.242434581945
108,10784.941063397993,474.31288738186413,0,9330.044916897772,2422.1663394624193,5695.8501659157555,0,9330.044916897772,12120.935517459322
109,11720.313345294902,1003.605501499871,0,10228.359544363353,2414.5896462723467,6486.97738262717,0,10228.359544363353,14159.284680268203
110,10858.6984452953,502.1712775570486,0,9402.565099649153,2422.2551673508715,5758.688608733362,0,9402.565099649153,12279.754239509843
111,11823.296485041707,1048.6240314078168,0,10328.029840154857,2413.845524472388,6580.113320927674,0,10328.029840154857,14379.710724457516
112,10935.694144255125,532.1177723873989,0,9478.176246355717,2422.261208893615,5824.919074438039,0,9478.176246355717,12445.572721264572
113,11930.445833644884,1095.577258548903,0,10431.670768833283,2412.9676505495154,6678.1324154431495,0,10431.670768833283,14609.076244893135
114,11015.341915445742,563.2294167373911,0,9556.361931377978,2422.1916170208424,5894.254489320614,0,9556.361931377978,12617.091869402851
115,12043.054877513883,1145.9072250779427,0,10540.40159645678,2411.927518110766,6782.069880757976,0,10540.40159645678,14850.098526419039
116,11098.14567819433,595.6560423411283,0,9637.620526828585,2422.037996668063,5966.634711812541,0,9637.620526828585,12795.522476932223
117,12161.656713967846,1200.0471714241867,0,10654.689328422566,2410.710277194812,6892.449463406607,0,10654.689328422566,15103.887436917124
118,11184.951093343692,630.7444810461748,0,9722.674394235524,2421.7757018251577,6043.1946217084405,0,9722.674394235524,12982.606205385775
